City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
Keyport,NJ,USA,4/16/19334/19/2012,0.0,0.0,OtherLight,Rotating lights.My brother and I witnessed 3 lights in the sky lined up in a triangle and they would brighten and then diminish. The lights would move,0,0
Keys,FL,USA,6/30/1975,0.0,0.0,Other,Metallic vertical blimp-shaped object,0,0
Keys/Ceres (between),CA,USA,12/31/1999,0.0,0.0,Other,On New Years Eve Night I witnessed 6 glowing objest in the sky moving very slow. I wasn't seeing things because I only had 1 Drink all,0,0
"Keys/Ceres (between, right over Hyw 99)",CA,USA,12/31/1999,0.0,0.0,Changing,At a familly gathering new years eve night 6 lit up object that where almost set up in a V formation exept for 1 that was down and in t,0,0
Keyser,WV,USA,4/19/19467/31/20224/16/19354/4/19954/22/1932,0.0,0.0,FireballOrbFlashLightCircle,"West Virginia man sees strange orange object in the night skySaw an orb that interacted with me.red and white lights tjat telaported across the sky moving with strange angels.I was in the back yard running my dogs and talking to my father on the phone when I sighted a light moving east to west approx. 5000 ftTo the northeast, I noticed a round light moving across the sky. There wasn't any sound coming from it. It was solid red, then white.",0,0
Keystone,CO,USA,8/4/2002,0.0,0.0,Light,I woke my husband to look out the window. I didn't trust what I was seeing with my own eyes.,0,0
Keystone,SD,USA,9/27/19817/22/2009,0.0,0.0,OvalOrb,"UFO photographed near Keystone, South Dakota.Strange Orb light in the sky. ((NUFORC Note: Sighting of ISS? Please check . PD))",0,0
Keystone (US 30 @),IA,USA,11/23/2002,0.0,0.0,Light,"Shimmering bright white light 3X size of Venus. Dripping, a tail, and variable at times.",0,0
Keystone (rural),IA,USA,3/8/2007,0.0,0.0,Oval,3/08/07 to 3/13/07 Rural Keystone Iowa Oblong Lighted object/ small star like fast moving objects multiple sighting 20:00 to 21:30,0,0
Keystone Heights,FL,USA,3/28/20201/15/20004/15/19374/15/1930,0.0,0.0,CircleCircleFlashOther,"The objects seen were circular shaped, In a sequence of 3,spaced apart from one another. One is bigger and the two others are the sameVideo taped approx. 3 minutes of stationary round object that darted on video screen. Numerous colours.Strobes. ((anonymous report))Fast moving object; Bright orange star shaped.... Silent",0,0
Keysville,FL,USA,6/13/2020,0.0,0.0,Triangle,"multiple shapes , lights, and colors...two stars moving east to west...became a spider of light..silent ..45 ft off ground",0,0
Keysville,GA,USA,4/30/19846/5/2008,0.0,0.0,TriangleChanging,"Three orange lights over Keysville, Georgia.Shape changing light formations, and two hovering vessels, eye level, at very close range",0,0
Kiambu,KY,USA,4/19/1988,0.0,0.0,Light,Hovering light.,0,0
Kiawah Island,SC,USA,12/31/20184/14/19734/4/19889/3/20034/10/19639/15/2022,0.0,0.0,SphereFormationOvalTriangleCircleCircle,"On New Year’s Eve night on Kiawah Island, I caught a glimpse of a strange orange sphere moving quickly. To explain it better, imagiSmall bright pulsing lights and several more smaller less bright pulsing lights moving rapidly.First Time sighting due South from Kiawah Island ocean front home -- Bright OrangeI am an Internal Mecicine physician and my girlfriend ownes a linen business. For some reason we awoke around 2:30 am we awoke and satUFO as in Unidentified. Left a trail like spaghetti in photos & pulsating. didn't get pic of the 2nd flying red craft.Noticed a reddish circular object in the sky that appeared at to be moving and then seemed to hover.",Y,0
Kibler,AR,USA,8/19/2006,0.0,0.0,Light,bright light over arkansas lock and dam 13,0,0
Kickapoo,IL,USA,7/8/2019,0.0,0.0,Circle,I seen 8-10 orange circular objects in the sky. They were all lit up a few went dark they were again seeable. ((anonymous report)),0,0
Kiefer,OK,USA,4/10/197912/17/20233/24/2020,0.0,0.0,FireballSphereLight,"No other bright stars in the southern sky and lower then regular stars..clear night,, outside 4-5 nights a week…Fast flying sphereEleven sightings four following each other, boomerang shape all within an hours time. ((Starlink satellites))",0,0
Kiel,WI,USA,7/23/20065/9/20015/26/2019,0.0,0.0,LightFlashCigar,"A very fast moving satellite look alike.Pairs of orange flashing lights in the western Wisconsin sky.Circle of light out of no where, then four dots into a formation. ((NUFORC Note: Space Link satellites. PD))",0,0
