Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/7/1970,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,Close encounter of the really close kind?,,
12/4/2021,-80.2533838,35.8240265,Lexington,NC,USA,Oval,"Dancing Orb's in sky, seemed like playing, at times following a pattern but other times randomly darting back and forth",,Searchlight
2/16/2007,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,"Huge black triangle heading north low and slow over Lexington, Kentucky",,
4/15/1979,-80.2533838,35.8240265,Lexington,NC,USA,Triangle,Night siting of a black trangle,,
4/6/1969,-71.2245003,42.4473175,Lexington,MA,USA,Triangle,Triangular tumbling object with red grey shimmering light flying over highway 95 Lexington Mass morning May 6th 2011,,
2/5/2005,-80.2533838,35.8240265,Lexington,NC,USA,Disk,"silver disc, about 3-6 miles away, mabey 22 ft. in length, 13-16 ft. tall",,
4/15/1974,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,Amber-colored lights in triangle formation.,,
8/9/2020,-84.4970393,38.0464066,Lexington,KY,USA,Orb,"Awoke. Felt ""compelled"" to step out into my backyard, overlooking the University of Kentucky. Glowing elongated orb caught my",,
4/19/1953,-81.2374167,33.9804494,Lexington,SC,USA,Light,Bright red-orange object that looked like a star.,,
12/14/2008,-84.4970393,38.0464066,Lexington,KY,USA,Light,Starlike object gives dazzling light show.,,
11/15/2005,-80.2533838,35.8240265,Lexington,NC,USA,Fireball,"Yellow fireball object, viewed from lexinton, NC",,
4/17/2021,-84.4970393,38.0464066,Lexington,KY,USA,Circle,"I was bird watching, as I was looking up at the sky I noticed something circle shaped color of aluminum foil in the sky at first I thou",,
6/12/2009,-81.2374167,33.9804494,Lexington,SC,USA,Light,"Bright light moves slowly, stops, and all of a sudden shoots off into space.",,
9/16/2005,-93.168558,45.1387036,Lexington,MN,USA,Light,I lIVE IN SHOREVIEW MN. WE WERE ON THE WAY TO THE D.Q. AROUND 6:45PM WE WENT TO THE ONE IN LEXINGTON WHICH IS APPROX. 10-15 MINUTES FRO,,
12/22/2022,-81.2374167,33.9804494,Lexington,SC,USA,Cigar,A long black thin cigar shaped UFO hovering around 1000 feet from my window,,
9/18/2019,-99.7414869,40.7788486,Lexington,NE,USA,Sphere,((HOAX??)) my brother noticed some white little spheres in the sky. ((anonymous report)),,
4/20/1975,-76.4522844,38.2658897,Lexington Park,MD,USA,Triangle,Black Triangle UFO silently cruising over at 400-500 feet.,,
