Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
11/20/1999,-77.649268,37.5062673,Midlothian,VA,USA,Fireball,I WAS OUTSIDE AND I LOOKED UP AND SAW A VERY BRIGHT LIGHT BLUE OBJECT SHOOT HALVEWAY ACROSS THE SKY AND THEN DISSAPEAR,,
7/26/2022,-122.5820333,45.2215112,Mulino,OR,USA,Circle,An object flashed goldish white 4 times and a flash behind it.,,
4/25/1996,-71.4677032,42.7656251,Nashua,NH,USA,Circle,"Circular glowing craft, extremely fast. ((NUFORC Note: We believe that the object is a commercial airliner, above a contrail. PD))",,
4/11/2000,-87.9656098,41.5119761,New Lenox,IL,USA,Orb,Huge glowing orange sphere over New Lenox IL seen by 4 witnesses,,
4/14/1968,-87.9656098,41.5119761,New Lenox,IL,USA,Circle,7 red lights in sky.,,
4/9/2027,-82.7192671,28.2441768,New Port Richey,FL,USA,Light,"2 bright orange-red twinkling lights traveling in tandem, then climbed and faded away",,
7/3/2019,-82.7192671,28.2441768,New Port Richey,FL,USA,Fireball,"Strange light in Pasco Co., FL.",,
4/4/2004,-76.8591057,34.7865497,Newport,NC,USA,Light,Moving object recorded in sky,,
9/23/2021,-88.3292104,37.9811576,Norris City,IL,USA,Unknown,MADAR Node 115,,
4/10/1997,-122.8950075,47.0451022,Olympia,WA,USA,Fireball,"Two circle shaped orbs were spotted for about 10 minutes, both appeared to have fire inside them and following them.",,
5/28/2007,-81.3790304,28.5421109,Orlando,FL,USA,Triangle,"Triangle shaped object flying over Orlando, Fl.",,
9/23/2005,-81.2207673,29.5541432,Palm Coast,FL,USA,Light,These sightings began on 23 Sep 2005 at approximately 2100. Two lights one traveling north to south and the other one east to west. T,,
4/24/2020,-89.3001174,43.5377608,Pardeeville,WI,USA,Other,me my wife a friend and 2 kids 10 and 12 saw many lights in a line fly across the sky and disappear. ((Starlink satellites?)),,
4/25/1938,-79.1215912,33.4293486,Pawleys Island,SC,USA,Circle,We saw one large orange ball of light move over the ocean very purposefully. It reached a spot on the horizon and disappeared. Momen,,
7/15/2002,-88.2612045,43.0805651,Pewaukee,WI,USA,Flash,Me and my friend have a UFO on tape. It was all by luck but I dont think it is a plane because it is this dot of light that just is ver,,
7/13/2001,-82.4333742,42.9760854,Port Huron,MI,USA,Triangle,Triangle shape in the sky moving fast with rows of dim lights.,,
8/15/2008,-70.2586618,43.6573605,Portland,ME,USA,Triangle,Three white lights in a triangular pateren about 200 feet wide,,
4/19/1966,-122.674194,45.5202471,Portland,OR,USA,Formation,I was looking northeast and saw 4 very bright objects. I made my friend stop the car and I got out and took 4 pictures with my phone.,,
11/4/2007,-108.75902,44.752873,Powell,WY,USA,Triangle,single triangle craft with four dim light rings spaced evenly on each side,,
11/30/2006,-75.9279495,40.335345,Reading,PA,USA,Other,LARGE CRAFT SEEN OVER READING PENNSYLVANIA - SOME LIGHTS FLASHING RED SOME JUST RED AND ALSO WHITE LIGHTS ON CRAFT. CRAFT WAS HEADING,,
9/4/2023,-106.6329806,35.2702448,Rio Rancho,NM,USA,Unknown,19 green objects moving at a mid rate of speed,Y,Starlink
2/12/2022,-121.493895,38.5810606,Sacramento,CA,USA,Triangle,Metallic pyramid,,
4/28/1969,-98.4951405,29.4246002,San Antonio,TX,USA,Light,The watcher's were spotted.,,
7/1/1970,-98.4951405,29.4246002,San Antonio,TX,USA,Oval,San Antonio UFO sighting in 1970 while parking with girlfriend.,,
3/1/2005,-89.1348256,30.6363623,Saucier,MS,USA,Sphere,Me and my kids driving home on a dark wooded road about 9. I was driving at least 50 when I saw a big round thing hovering over my car,,
3/28/1943,-111.8137097,34.8629426,Sedona,AZ,USA,Formation,Three positioned lights brightly moving slowly east over south rim of the Grand Canyon almost dark.,,
4/21/1989,-80.4934035,41.2331116,Sharon,PA,USA,Fireball,Four red/orange fireballs seen over sharon/farrell pa materializing and disapearing,,
1/6/2001,-82.5862699,38.4178597,South Point,OH,USA,Sphere,"the object had a bright white center and a weblike bright white formed structure forming the bottom, could not be a star because it van",,
4/25/1978,-117.230949,38.0681008,Tonopah,NV,USA,Fireball,Pinkish fireball that broke apart and changed color to a bluish on a smaller pc. 4 witnesses.,,
5/18/2008,-110.974847,32.2228765,Tucson,AZ,USA,Triangle,"Triangular object, flying slowly south, with seven bright lights pointing outward and down from bottom of craft.",,
4/17/2002,-120.8465941,37.4946568,Turlock,CA,USA,Triangle,"Large triangular object spotted over Turlock, California.",,
8/21/2022,-121.0719031,40.0201673,Twain,CA,USA,Disk,Lights in distance neared me/ I went and woke my dad/ we saw for a couple days “rainbow brite”,,
8/14/2004,-104.780995,37.6235234,Walsenburg,CO,USA,Circle,"round object moving in and out of thundercloud, after flitting back and forth,sped north at high speed",,
4/3/1968,-93.7409596,38.7624373,Warrensburg,MO,USA,Oval,Orange light hovering above trees.,,
4/11/1934,-88.1834277,43.4252776,West Bend,WI,USA,Oval,Most amazing thing I have ever seen in my 48 years and hope I never see nothing like that again.,,
9/9/2001,-97.3375448,37.6922361,Wichita,KS,USA,Cigar,looked like cigar on a still frame from the weather cam.,,
